            univ_name,univ_dept,univ_img
서울대학교,물리교육과,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,생물교육과,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,수학교육과,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,지구과학교육과,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,화학교육과,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,체육교육과,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,건축학과(건축공학전공),https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,건축학과(건축학전공(5년)),https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,건설환경공학부,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,기계항공공학부,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,항공우주공학과,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,조선해양공학과,https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,기계항공공학부(기계공학전공),https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
서울대학교,기계항공공학부(우주항공공학전공),https://firebasestorage.googleapis.com/v0/b/ipsi-f2028.firebasestorage.app/o/firebase%2Funiv%2Fseoul.jpg?alt=media
